TransAnimCode,TransCode,AnimalID,MalCode,MalDesc,SppCode_OLD,SppCode,Updated_Spp,MalNumber
12598_20110725_FT02-1,12598_20110725_FT02,1,MLHF,injury,PSTR,PSTR,TRUE,1
20MDSP_20100705_FT02-1,20MDSP_20100705_FT02,1,GEN,tumor on jaw,PSRE,PSRE,TRUE,1
20MDSP_20100705_FT03-1,20MDSP_20100705_FT03,1,INJRHL,broken and bleeding right hind foot,PSRE,PSRE,TRUE,1
5CN2_20100802_FT02-1,5CN2_20100802_FT02,1,MLHF,missing left hind foot,PSRE,PSRE,TRUE,1
5CN4_20100802_FT01-1,5CN4_20100802_FT01,1,MRHL,missing right hind limb,PSRE,PSRE,TRUE,1
5CN4_20100802_FT01-2,5CN4_20100802_FT01,2,MLHF,Missing left hind foot,PSRE,PSRE,TRUE,1
5CN4_20100802_FT02-1,5CN4_20100802_FT02,1,MLHF,Missing left hind foot,PSRE,PSRE,TRUE,1
5CN4_20100802_FT02-2,5CN4_20100802_FT02,2,MRHL,missing right hind limb,PSRE,PSRE,TRUE,1
5CN4_20100802_FT02-3,5CN4_20100802_FT02,3,MRHL,missing right hind limb,PSRE,PSRE,TRUE,1
5CN4_20130813_FT01-1,5CN4_20130813_FT01,1,MRHL,,PSRE,PSRE,TRUE,1
8AMDSP_20100701_FT02-1,8AMDSP_20100701_FT02,1,MLHF,Missing left hind foot,PSRE,PSRE,TRUE,1
8AMDSP_20100701_FT03-1,8AMDSP_20100701_FT03,1,PLHF,Missing left hnid foot,PSRE,PSRE,TRUE,1
8AMDSP_20100701_FT03-2,8AMDSP_20100701_FT03,2,MLHL,Missing left hind limb,PSRE,PSRE,TRUE,1
8AMDSP_20100701_FT04-1,8AMDSP_20100701_FT04,1,MLHL,Missing below the knee left hind limb,PSRE,PSRE,TRUE,1
Barn_20130514_FT03-1,Barn_20130514_FT03,1,MRHF,,BUBO,BUBO,TRUE,1
Barn_20130701_FT01-1,Barn_20130701_FT01,1,BT,three of these,PSRE,PSRE,TRUE,1
Barn_20130701_FT01-1,Barn_20130701_FT01,1,ELHF,,PSRE,PSRE,TRUE,1
