SurveyCode,SeineCode,NetSeq,CrewID,Depth (ft),Distance (ft),Entered by,GeneralComments,Updated_Spp
0_20070825_NS01,0_20070825_NS01-01,1,23,,,,,FALSE
0_20070825_NS01,0_20070825_NS01-02,2,23,,,,,FALSE
0_20070825_NS01,0_20070825_NS01-03,3,23,,,,,FALSE
0_20070825_NS01,0_20070825_NS01-04,4,23,,,,,FALSE
0_20070825_NS01,0_20070825_NS01-05,5,23,,,,,FALSE
0_20100604_NS02,0_20100604_NS02-01,1,13,2,10,,,FALSE
0_20100604_NS02,0_20100604_NS02-02,2,13,2,10,,,FALSE
0_20100604_NS02,0_20100604_NS02-03,3,13,2,10,,,FALSE
0_20100604_NS02,0_20100604_NS02-04,4,13,2,10,,,FALSE
0_20100722_NS02,0_20100722_NS02-01,1,14,1,3,,,FALSE
0_20100722_NS02,0_20100722_NS02-02,2,14,1,3,,,FALSE
0_20100722_NS02,0_20100722_NS02-03,3,14,1,3,,,FALSE
0_20100722_NS02,0_20100722_NS02-04,4,,,,,,FALSE
0_20110704_NS01,0_20110704_NS01-01,1,21,,,,,FALSE
0_20110704_NS01,0_20110704_NS01-02,2,21,,,,,FALSE
0_20110704_NS01,0_20110704_NS01-03,3,21,,,,,FALSE
0_20110704_NS01,0_20110704_NS01-04,4,21,,,,,FALSE
0_20110704_NS01,0_20110704_NS01-05,5,21,,,,,FALSE
0_20110704_NS01,0_20110704_NS01-06,6,21,,,,,FALSE
0_20110704_NS01,0_20110704_NS01-07,7,21,,,,,FALSE
0_20110704_NS01,0_20110704_NS01-08,8,21,,,,,FALSE
0_20110704_NS01,0_20110704_NS01-09,9,21,,,,,FALSE
0_20110704_NS01,0_20110704_NS01-10,10,21,,,,,FALSE
0_20110704_NS01,0_20110704_NS01-11,11,21,,,,,FALSE
0_20110704_NS01,0_20110704_NS01-12,12,21,,,,,FALSE
0_20110704_NS01,0_20110704_NS01-13,13,21,,,,,FALSE
0_20110704_NS01,0_20110704_NS01-14,14,21,,,,,FALSE
0_20110704_NS01,0_20110704_NS01-15,15,21,,,,,FALSE
0_20110704_NS02,0_20110704_NS02-01,1,21,3,8,,,FALSE
0_20110704_NS02,0_20110704_NS02-02,2,21,0.5,11,,,FALSE
0_20110704_NS02,0_20110704_NS02-03,3,21,2.5,10,,,FALSE
0_20110704_NS02,0_20110704_NS02-04,4,21,0.600000024,8,,,FALSE
0_20110803_NS02,0_20110803_NS02-01,1,27,1,8,,,FALSE
0_20110803_NS02,0_20110803_NS02-02,2,27,2,6,,,FALSE
0_20110803_NS02,0_20110803_NS02-03,3,27,2,8,,,FALSE
0000_20080707_NS01,0000_20080707_NS01-01,1,23,,,,,FALSE
0000_20080707_NS01,0000_20080707_NS01-02,2,23,,,,,FALSE
0000_20080707_NS01,0000_20080707_NS01-03,3,23,,,,,FALSE
0000_20080707_NS01,0000_20080707_NS01-04,4,23,,,,,FALSE
0000_20080707_NS01,0000_20080707_NS01-05,5,23,,,,,FALSE
0000_20080707_NS01,0000_20080707_NS01-06,6,23,,,,,FALSE
0000_20080707_NS01,0000_20080707_NS01-07,7,23,,,,,FALSE
0000_20080707_NS01,0000_20080707_NS01-08,8,23,,,,,FALSE
0000_20080707_NS01,0000_20080707_NS01-09,9,23,,,,,FALSE
0000_20080707_NS02,0000_20080707_NS02-01,1,23,1.5,12,,,FALSE
0000_20080707_NS02,0000_20080707_NS02-02,2,23,1.5,12,,,FALSE
0000_20100608_NS01,0000_20100608_NS01-02,2,14,1,3,,,FALSE
0000_20100608_NS01,0000_20100608_NS01-03,3,14,1,3,,,FALSE
0000_20100608_NS01,0000_20100608_NS01-11,11,14,1,3,,,FALSE
0000_20100608_NS02,0000_20100608_NS02-01,1,14,2.5,10,,,FALSE
0000_20100608_NS02,0000_20100608_NS02-02,2,14,2.5,10,,,FALSE
0000_20100608_NS02,0000_20100608_NS02-03,3,14,2.5,10,,,FALSE
0000_20100608_NS02,0000_20100608_NS02-04,4,14,1,3,,,FALSE
0000_20100608_NS02,0000_20100608_NS02-05,5,14,1,3,,,FALSE
0000_20100608_NS02,0000_20100608_NS02-06,6,14,1,3,,,FALSE
0000_20100608_NS02,0000_20100608_NS02-07,7,14,1,3,,,FALSE
0000_20100608_NS02,0000_20100608_NS02-08,8,14,1,3,,,FALSE
0000_20100608_NS02,0000_20100608_NS02-09,9,14,1,3,,,FALSE
0000_20100608_NS02,0000_20100608_NS02-10,10,14,1,3,,,FALSE
0000_20100617_NS02,0000_20100617_NS02-01,1,13,1,3,,,FALSE
0000_20100617_NS02,0000_20100617_NS02-02,2,13,1,3,,,FALSE
0000_20100617_NS02,0000_20100617_NS02-03,3,13,1,3,,,FALSE
0000_20100617_NS02,0000_20100617_NS02-04,4,13,1,3,,,FALSE
0000_20100719_NS01,0000_20100719_NS01-01,1,13,1,3,,,FALSE
0000_20100719_NS01,0000_20100719_NS01-02,2,13,1,3,,,FALSE
0000_20100719_NS01,0000_20100719_NS01-03,3,13,1,3,,,FALSE
0000_20100719_NS01,0000_20100719_NS01-04,4,13,1,3,,,FALSE
0000_20100719_NS01,0000_20100719_NS01-05,5,13,1,3,,,FALSE
0000_20100719_NS01,0000_20100719_NS01-06,6,13,1,3,,,FALSE
0000_20100719_NS01,0000_20100719_NS01-07,7,13,1,3,,,FALSE
0000_20100719_NS01,0000_20100719_NS01-08,8,13,1,3,,,FALSE
0000_20100719_NS01,0000_20100719_NS01-09,9,13,1,3,,,FALSE
0000_20100719_NS01,0000_20100719_NS01-10,10,13,1,3,,,FALSE
0000_20100719_NS01,0000_20100719_NS01-11,11,13,1,3,,,FALSE
0000_20100719_NS01,0000_20100719_NS01-12,12,13,1,3,,,FALSE
0000_20100719_NS01,0000_20100719_NS01-13,13,13,1,3,,,FALSE
0000_20100719_NS02,0000_20100719_NS02-01,1,13,2.5,10,,,FALSE
0000_20100719_NS02,0000_20100719_NS02-02,2,13,2.5,10,,,FALSE
0000_20100719_NS02,0000_20100719_NS02-03,3,13,2.5,10,,,FALSE
0000_20100803_NS01,0000_20100803_NS01-02,2,13,1,3,,,FALSE
0000_20100803_NS01,0000_20100803_NS01-03,3,13,1,3,,,FALSE
0000_20100803_NS01,0000_20100803_NS01-04,4,13,1,3,,,FALSE
0000_20100803_NS01,0000_20100803_NS01-05,5,13,1,3,,,FALSE
0000_20100803_NS01,0000_20100803_NS01-06,6,13,1,3,,,FALSE
0000_20100803_NS01,0000_20100803_NS01-07,7,13,1,3,,,FALSE
0000_20100803_NS01,0000_20100803_NS01-08,8,13,1,3,,,FALSE
0000_20100803_NS01,0000_20100803_NS01-09,9,13,1,3,,,FALSE
0000_20100803_NS01,0000_20100803_NS01-10,10,13,1,3,,,FALSE
0000_20100803_NS01,0000_20100803_NS01-11,11,13,1,3,,,FALSE
0000_20100803_NS01,0000_20100803_NS01-12,12,13,1,3,,,FALSE
0000_20100803_NS02,0000_20100803_NS02-01,1,13,2.5,10,,,FALSE
0000_20100803_NS02,0000_20100803_NS02-02,2,13,2.5,10,,,FALSE
0000_20100803_NS02,0000_20100803_NS02-03,3,13,2.5,10,,,FALSE
0000_20100804_NS02,0000_20100804_NS02-01,1,2,1,3,,,FALSE
0000_20100804_NS02,0000_20100804_NS02-02,2,13,1,3,,,FALSE
0000_20100804_NS02,0000_20100804_NS02-03,3,13,1,3,,,FALSE
0000_20100804_NS02,0000_20100804_NS02-04,4,13,1,3,,,FALSE
0000_20100816_NS02,0000_20100816_NS02-01,1,13,1,3,,,FALSE
0000_20100816_NS02,0000_20100816_NS02-02,2,13,1,3,,,FALSE
0000_20100816_NS02,0000_20100816_NS02-03,3,13,1,3,,,FALSE
0000_20100816_NS02,0000_20100816_NS02-04,4,13,1,3,,,FALSE
0000_20100909_NS02,0000_20100909_NS02-01,1,15,1,3,,,FALSE
0000_20100909_NS02,0000_20100909_NS02-02,2,15,1,3,,,FALSE
0000_20100909_NS02,0000_20100909_NS02-03,3,15,1,3,,,FALSE
0000_20100909_NS02,0000_20100909_NS02-04,4,15,1,3,,,FALSE
0000_20110622_NS01,0000_20110622_NS01-01,1,27,,,,,FALSE
0000_20110622_NS01,0000_20110622_NS01-02,2,27,,,,,FALSE
0000_20110622_NS01,0000_20110622_NS01-03,3,27,,,,,FALSE
