Prj_Code,SiteCode,SiteName,PropertyName,RefugeCode,Ownership,Region,City,County,State,PrimaryContact,SecondContact,PhoneNumber,Latitude,Longitude,Elevation,Class,Longevity,Origin
3,0,Jasons Deli,,,OSMP,,Broomfield,Broomfield,CO,OSMP,,,39.940651,-105.143095,1658,Lake,Semi-permanent,Artificial
3,0000,The Pincher (K4-11),OSMP,,OSMP,,Boulder,Boulder,CO,OSMP,,,39.96764,-105.23079,1660,Pond,Permanent,Artificial
,10412,Wedding Pond,,,,,Lyons,,CO,,,,40.2457,-105.28621,1682,Pond,Permanent,Artificial
,104601,Leaky Wader Pond,,,,,White River,Rio Blanco,CO,,,,40.03251,-107.58081,2534,Pond,Temporary,Natural
3,10488,Daisy Duke,,,,,,,CO,,,,39.989936,-105.530194,10488,Pond,Permanent,Artificial
,10511,Stained Glass,,,,,Boulder,Boulder,CO,,,,40.13446,-105.20704,1585,Pond,Permanent,
3,10559,Zoolander,,,Private,,Superior,Broomfield,CO,Private,,,39.94576,-105.16245,1719,Pond,Permanent,Artificial
3,10585,IQ Pond,,,OSMP,,Boulder,Boulder,CO,OSMP,,,39.92301,-105.2392,1824,Pond,Permanent,Artificial
3,10725,Paddle Boat Pond,,,Private,,Superoir,Broomfield,CO,OSMP,,,39.92072,-105.16513,1719,Pond,Semi-permanent,Artificial
3,10757,Goose Pond,,,Private,,Arvada,Broomfield,CO,Tom and Claudette Hertner (son in law & daughter),Helen Druse lives here,3032380289,39.96429,-105.09127,1598,Pond,Permanent,Artificial
,10820,Mating Pelican,,,,,,,CO,,,,40.2215,-105.0571,1562,Pond,Permanent,Natural
3,10846,Lil Nibbler,,,Private,,Boulder,Boulder,CO,Private,,,39.95211,-105.24023,1685,Pond,Semi-permanent,Artificial
3,10909,Glacier Pond,,,,,,,CO,,,,40.318747,-105.608691,2668,Pond,Permanent,Natural
,10964,Totem Pole,,,,,,,CO,,,,40.21397,-105.05963,1538,Pond,,Artificial
,10983,Electric Fence,,,,,,,CO,,,,40.21166,-105.1852,,Pond,Permanent,Artificial
,11307,Bubbly,,,,,Hygiene,,CO,,,,40.165923,-105.192712,1569,Pond,Permanent,
3,11444,Sangria,,,,,,,CO,,,,40.149816,-105.253643,1664,Pond,Permanent,Artificial
,11508,Teal Barn Pond,,,,,,,CO,,,,40.13721,-105.20856,1580,Pond,Permanent,Artificial
3,11518,Hectic Hummingbird,,,,,,,CO,,,,40.126798,-105.554399,2617,Pond,Other,Artificial
