TransCode,SppCode_Old,Spp_Total,Mal_Total,SppCode,Updated_Spp
0_20110803_FT01,BUWO,20,0,BUWO,TRUE
0_20110803_FT02,BUWO,17,0,BUWO,TRUE
0_20110803_FT03,RAPI,3,0,RAPI,TRUE
0_20110803_FT04,RAPI,2,0,RAPI,TRUE
10559_20070724_FT01,UNKN,9,0,AMSP,TRUE
10559_20070724_FT02,UNKN,3,0,AMSP,TRUE
10559_20070724_FT03,UNKN,3,0,AMSP,TRUE
10725_20110727_FT01,PSTR,0,0,PSTR,TRUE
10725_20110727_FT02,PSTR,0,0,PSTR,TRUE
10757_20110801_FT01,RAPI,0,0,RAPI,TRUE
12598_20110725_FT01,PSTR,25,0,PSTR,TRUE
12598_20110725_FT02,PSTR,6,1,PSTR,TRUE
12598_20110725_FT03,PSTR,12,0,PSTR,TRUE
12598_20110822_FT01,RAPI,2,0,RAPI,TRUE
12598_20110822_FT02,RAPI,2,0,RAPI,TRUE
12611_20110801_FT02,RAPI,2,0,RAPI,TRUE
12612_20110725_FT01,RACA,4,0,RACA,TRUE
12653_20110713_FT01,PSTR,0,0,PSTR,TRUE
12653_20110713_FT02,PSTR,0,0,PSTR,TRUE
12770_20110718_FT01,PSTR,13,0,PSTR,TRUE
12770_20110718_FT02,PSTR,2,0,PSTR,TRUE
12770_20110718_FT03,PSTR,11,0,PSTR,TRUE
20MDSP_20100705_FT01,PSRE,20,0,PSRE,TRUE
20MDSP_20100705_FT02,PSRE,24,1,PSRE,TRUE
20MDSP_20100705_FT03,PSRE,53,1,PSRE,TRUE
20MDSP_20100705_FT04,PSRE,11,0,PSRE,TRUE
5CN1_20100802_FT01,PSRE,4,0,PSRE,TRUE
5CN1_20100802_FT02,PSRE,0,0,PSRE,TRUE
5CN1_20100802_FT03,PSRE,8,0,PSRE,TRUE
5CN1_20130812_FT01,PSRE,14,0,PSRE,TRUE
5CN1_20130812_FT02,PSRE,1,0,PSRE,TRUE
5CN1_20130812_FT03,TATO,15,0,TATO,TRUE
5CN1_20130812_FT04,TAGR,15,0,TAGR,TRUE
5CN1_20160803_FT01,PSRE,10,0,PSRE,FALSE
5CN1_20170801_FT01,,15,0,PSRE,FALSE
5CN1_20170801_FT02,,20,0,PSRE,FALSE
5CN1_20180716_FT01,,15,0,PSRE,FALSE
5CN1_20180716_FT02,,14,0,PSRE,FALSE
5CN1_20180716_FT03,,4,0,PSRE,FALSE
5CN1_20190717_FT1,,83,1,PSRE,FALSE
5CN1_20190717_FT2,,15,0,PSRE,FALSE
5CN2_20100802_FT01,PSRE,7,0,PSRE,TRUE
5CN2_20100802_FT02,PSRE,21,1,PSRE,TRUE
5CN2_20130812_FT01,PSRE,0,0,PSRE,TRUE
5CN2_20130812_FT02,PSRE,15,0,PSRE,TRUE
5CN2_20130812_FT03,PSRE,15,0,PSRE,TRUE
5CN2_20170801_FT01,,10,0,PSRE,FALSE
5CN2_20180716_FT01,,50,0,PSRE,FALSE
5CN2_20180716_FT02,,42,0,PSRE,FALSE
5CN2_20180716_FT03,,26,0,PSRE,FALSE
5CN2_20190717_FT1,,26,0,PSRE,FALSE
5CN3_20100802_FT01,PSRE,6,0,PSRE,TRUE
5CN3_20100802_FT02,PSRE,4,0,PSRE,TRUE
5CN3_20130812_FT01,PSRE,0,0,PSRE,TRUE
5CN3_20130812_FT02,TAGR,1,0,TAGR,TRUE
5CN3_20150819_FT01,,4,0,PSRE,FALSE
5CN3_20170801_FT01,,1,0,PSRE,FALSE
5CN3_20170801_FT02,,0,0,PSRE,FALSE
5CN3_20180716_FT01,,0,0,PSRE,FALSE
5CN3_20190717_FT1,,2,0,PSRE,FALSE
5CN4_20100802_FT01,PSRE,41,2,PSRE,TRUE
5CN4_20100802_FT02,PSRE,36,3,PSRE,TRUE
