AssmtCode,WaterTemp (C),Conductivity (uS/cm),TDS (g/l),Salinity,DO_Pct,DO (mg/l),pH,WaterColor,Turbidity,SecchiDepth (cm),NutrientSamples,TotalN (uMOLES/L),TotalP (uMOLES/L),WaterNotes,MeasDepth (m),DOC mg C/L,NH4+ (uEQ/L),DON (uM/L),PO4 3- (uEQ/L),IP (uM/L),DOP (uM/L),NO3-(uEQ/L),IN (uM/L)
0_20070825,22.87000084,370,0.240999997,0.180000007,233,20.62000084,,,,,,,,,,,,,,,,,
0_20100604,23.27000046,678,0.456999987,0.340000004,150.6999969,12.77999973,9.569999695,Turbid,5.809999943,38,1,50.68999863,0.75999999,"Jason's Deli, water sample 1, 6/4/10 unfiltered",,9.68999958,5,,,,,,
0_20100722,23.80999947,718,0.470999986,0.349999994,1.799999952,0.109999999,9.989999771,Brown,,16.5,0,,,,,,,,,,,,
0_20110704,25.10000038,1085,0.699999988,0.529999971,127,20.39999962,9.659999847,Clear,2.049999952,120,1,67.55666351,0.288574994,Some trash blown off from highway.,,9.729001045,1.020466089,,,,,,
0_20110803,26.10000038,896,0.569999993,0.430000007,95.19999695,7.550000191,8.289999962,Clear,2.539999962,37,1,,,,,,,,,,,,
0000_20080707,16.43000031,70,0.054000001,0.039999999,26,2.549999952,7.21999979,,,120,1,8.229999542,0.090000004,,,,,,,,,,
0000_20100608,19.82999992,263,0.188999996,0.140000001,60.29999924,5.519999981,6.920000076,Clear,6.670000076,22,1,44.52000046,0.439999998,The Pincher Sample 1 6/8/10 *unfiltered,,12.48999977,1.840000033,,,,,,
0000_20100617,18.79000092,175,0.130999997,0.100000001,83.5,7.699999809,7.380000114,Brown,5.380000114,72,1,55.08000183,0.419999987,,,9.960000038,10.31000042,,,,,,
0000_20100719,20.47999954,103,0.072999999,0.050000001,61.5,5.199999809,7.960000038,Clear,,82,0,,,,,,,,,,,,
0000_20100803,22.43000031,125,0.085000001,0.059999999,49.20000076,4.239999771,7.369999886,Clear,,95.40000153,0,,,,,,,,,,,,
0000_20100804,25.37999916,14.02999973,0.082999997,0.059999999,79.30000305,6.46999979,7.03000021,Clear,,65,0,,,,,,,,,,,,
0000_20100816,20.87000084,97,0.068999998,0.050000001,50.29999924,4.460000038,7.71999979,Clear,,83,0,,,,,,,,,,,,
0000_20100909,18.61000061,118,0.088,0.059999999,-4.400000095,-0.400000006,7.119999886,Clear,,23,0,,,,,,,,,,,,
0000_20110622,21,154,0.108999997,0.079999998,34,3.799999952,7.599999905,Clear,3.309999943,60,1,34.58683777,0.24415119,,,7.318036079,1.948557496,,,,,,
0000_20110809,20.52000046,103,0.072999999,0.050000001,29.20000076,2.579999924,7.489999771,Turbid,12.39999962,,1,,,,,,,,,,,,
10412_20090610,14.93999958,29,0.024,0.02,107.3000031,10.85999966,4.389999866,Clear,1.480000019,,1,,,,,,,,,,,,
104601_20090721,12.22000027,16.20000076,0.138999999,0.100000001,70,7.5,5.820000172,Clear,21.39999962,,1,,,lots of algae almost eutrophic,,,,,,,,,
