AssmtCode,PondArea (m),Perimeter (m),MaxDepth (m),TrophicState,ShoreVeg_Pct,Juncus_Pct,Typha_Pct,Bullrush_Pct,Other_Pct,LandUsage,OpenWater_Pct,CanopyCov_Pct,Tree Measure,Length,Width,WetlandNotes,Tree Method,M or F,Dry
0_20070825,,,,eutrophic/meso,0,,,,,suburb,,,8,60,20,,Num trees within 50 m,m,N
0_20100604,42959,997.789978,2.5,mesotrophic,2,100,,,0,suburb,99,3,9,150,100,,Num of Trees within 50 ft,m,
0_20100722,19930,547.1760254,2,mesotrophic,0,0,0,0,0,suburb,100,0,16,90,80,,Num of Trees within 50 ft,m,
0_20110704,25166,728,,mesotrophic,100,,0,,100,urban/refuge,99,0,2,130,60,,Num of Trees within 50 ft,m,
0_20110803,22466,691,5,mesotrophic,100,0,0,0,100,refuge,100,0,1,130,90,,Num of Trees within 50 ft,,
0000_20080707,383,,,mesotrophic,20,0,20,,,refuge,80,,50,10,20,,Num of Trees in 100 m radius,m,
0000_20100608,1248.800049,118.8700027,2.5,mesotrophic,100,15,85,,0,ag,65,10,45,65,55,,Num of Trees within 50 ft,m,
0000_20100617,15032.58301,675.9240112,5,mesotrophic,100,10,90,,0,graze,40,10,50,120,60,Number of trees is greater than 50,Num of Trees within 50 ft,m,
0000_20100719,16260,659.8309937,2.5,mesotrophic,100,15,80,,5,graze,80,10,59,110,90,,Num of Trees within 50 ft,m,
0000_20100803,18972,708.1113892,2.5,mesotrophic,100,15,80,,5,recr/graze,70,15,48,110,90,,Num of Trees within 50 ft,m,
0000_20100804,18972,708.1113892,2.5,mesotrophic,100,10,80,,10,graze,60,15,50,120,70,,Num of Trees within 50 ft,m,
0000_20100816,18954,675.9244995,2.5,mesotrophic,100,20,80,,0,graze,70,15,100,120,70,,Num of Trees within 50 ft,m,
0000_20100909,18942.30078,0.409999996,2.5,mesotrophic,100,25,75,,0,recr/graze,70,15,100,120,60,,Num of Trees within 50 ft,m,
0000_20110622,4137,203,1.5,eutrophic,100,30,70,,,recr,100,0,30,30,40,,Num of Trees within 50 ft,m,
0000_20110809,4130,200,1.5,eutrophic,100,,100,0,,recr,95,,17,50,80,,Num of Trees within 50 ft,m,
10412_20090610,1845,,1.5,mesotrophic,5,,100,,,forest,,,100,80,20,,Num of Trees in 100 m radius,m,
104601_20090721,129,,0.699999988,mesotrophic,,0,0,,,forest,70,,100,18,10,,Num of Trees in 100 m radius,m,
10488_20070710,,,,oligotrophic,,0,0,,,refuge,95,10,170,30,20,,Num trees within 50 m,m,
10511_20090608,2893,,,mesotrophic,10,,10,,,ag,,0,5,30,20,,Num of Trees in 100 m radius,m,
10511_20090727,2674,,,mesotrophic,70,70,0,,,ag,100,0,6,70,40,,Num of Trees in 100 m radius,m,
10559_20070628,3940,,,mesotrophic,10,,,,,subu/urban,92,1,4,10,28,,Distance to Treeline (m),m,
10559_20100603,3850.600098,337.9599915,1.5,oligotrophic,100,5,15,,80,suburb,95,10,7,60,60,"site outlet man-made, flows into a series of small ponds, potential RACA movemme",Num of Trees within 50 ft,m,
10559_20100722,3567.100098,321.8680115,2,mesotrophic,100,0,20,,80,suburb,95,5,8,100,40,,Num of Trees within 50 ft,m,
10559_20100817,3965.5,305.7753601,2,mesotrophic,100,0,20,,80,suburb,90,2,7,100,60,,Num of Trees within 50 ft,m,
10559_20110701,,,5,mesotrophic,10,0,100,,,suburb,98,0,27,110,10,,Num of Trees within 50 ft,m,
10559_20110804,,,1,mesotrophic,10,0,100,,,suburb,100,,17,10,100,,Num of Trees within 50 ft,m,
10585_20070628,11200,,2,mesotrophic,5,100,,,,graze,100,1,4,30,43,,Num trees within 50 m,m,
10585_20080514,6383,,,eutrophic,0,,,,,,,,0,,,,Num of Trees in 100 m radius,,
10585_20080603,,,,eutrophic,0,,,,,graze,30,,3,100,70,,Num of Trees in 100 m radius,m,
10585_20080630,,,,,,,,,,,100,0,,,,,,,
10585_20080722,,,,,50,,,,100,graze,,0,4,80,,,Num of Trees in 100 m radius,m,
10585_20080811,,,,mesotrophic,0,0,0,,,graze,100,,,,,,Num of Trees in 100 m radius,,
10585_20100609,14856,595.4500122,2,mesotrophic,45,,,,,graze,97,1,3,120,75,,Num of Trees within 50 ft,m,
10585_20100716,13723,675.9244995,2,mesotrophic,55,90,0,,10,graze,95,1,3,150,110,,Num of Trees within 50 ft,m,
